"logradouro";"tipo";"extensão";;"etapa1";;"etapa2";
"AVENIDA DOMINGOS POTOMATI";"arterial";1683,00;;0,00;;1683,00;
"ESTRADA ASSUMPTA SABATINI ROSSI";"arterial";998,00;;0,00;;998,00;
"ESTRADA DA  CAMA PATENTE";"arterial";2297,00;;0,00;;0,00;
"ESTRADA DO  ACAMPAMENTO DOS ENGENHEIROS";"arterial";1453,00;;0,00;;1453,00;
"ESTRADA DOS  ALVARENGAS";"arterial";6418,00;;0,00;;3800,00;
"ESTRADA DOS  CASA";"arterial";901,00;;0,00;;901,00;
"ESTRADA GALVÃO BUENO";"arterial";357,00;;0,00;;357,00;
"ESTRADA DO  PONEY CLUB";"coletora";2488,00;;0,00;;0,00;
"RUA JOSUÉ DE CASTRO";"coletora";584,00;;0,00;;584,00;
"RUA FREI TITO DE ALENCAR LIMA";"coletora";195,00;;0,00;;195,00;
"RUA SANTO DIAS DA SILVA";"coletora";263,00;;0,00;;263,00;
"ALAMEDA DAS  AMEIXEIRAS";"local";424,00;;0,00;;424,00;
"ALAMEDA DAS  AVENCAS";"local";76,00;;0,00;;76,00;
"ALAMEDA DAS  GLICÍNIAS";"local";70,00;;0,00;;70,00;
"ALAMEDA DAS  PARREIRAS";"local";706,00;;0,00;;706,00;
"ALAMEDA DOS  PINHEIRAIS";"local";690,00;;0,00;;690,00;
"ALAMEDA FLOR DE PESSEGUEIRO";"local";164,00;;0,00;;164,00;
"AVENIDA ANTÔNIO TONETTO";"local";363,00;;0,00;;363,00;
"AVENIDA CARMELO MAMMANA";"local";307,00;;0,00;;307,00;
"AVENIDA GUATEMALA";"local";378,00;;0,00;;378,00;
"AVENIDA JUAREZ TAVORA";"local";328,00;;0,00;;328,00;
"AVENIDA LAURA";"local";400,00;;0,00;;400,00;
"AVENIDA MARECHAL BERNARD MONTGOMERY";"local";1031,00;;0,00;;1031,00;
"AVENIDA MARIO ALBERTO MARCHI";"local";419,00;;0,00;;419,00;
"AVENIDA MONTEMOR";"local";539,00;;0,00;;539,00;
"AVENIDA PÉROLA NEGRA";"local";391,00;;0,00;;391,00;
"AVENIDA VITÓRIA ( JARDIM PINHEIROS)";"local";475,00;;0,00;;475,00;
"ESTRADA CACONDE";"local";216,00;;0,00;;216,00;
"ESTRADA LUIZ MARSON";"local";114,00;;0,00;;114,00;
"ESTRADA LUIZA LOTTO GIANOTTO";"local";167,00;;0,00;;0,00;
"ESTRADA RIBEIRO DO SD.";"local";182,00;;0,00;;167,00;
"EUA ARNALDO LOMBARDI";"local";40,00;;0,00;;40,00;
"PASSAGEM A";"local";256,00;;0,00;;0,00;
"PRAÇA JOÃO MOURA";"local";23,00;;0,00;;23,00;
"RUA 11 DE JULHO";"local";180,00;;0,00;;180,00;
"RUA 2 DE JULHO";"local";130,00;;0,00;;130,00;
"RUA 26 DE NOVEMBRO";"local";417,00;;0,00;;417,00;
"RUA 27 DE AGOSTO (VILA SANTA MÔNICA)";"local";206,00;;0,00;;206,00;
"RUA AÇUCENA";"local";116,00;;0,00;;116,00;
"RUA ADEMAR SARAIVA LEÃO";"local";32,00;;0,00;;32,00;
"RUA ADOLFO ZOBOLI";"local";189,00;;0,00;;189,00;
"RUA ÁGUAS MARINHAS";"local";185,34;;0,00;;185,34;
"RUA ALASCA";"local";318,00;;0,00;;318,00;
"RUA ALBERTINO AUGUSTO VIEIRA";"local";548,00;;0,00;;0,00;
"RUA ALBERTINO VIEIRA DE SOUSA";"local";93,00;;0,00;;93,00;
"RUA ALEXANDRITA";"local";44,00;;0,00;;44,00;
"RUA ALFREDO CAPUTO";"local";235,00;;0,00;;235,00;
"RUA ALMEIDA DURÃO";"local";62,00;;0,00;;62,00;
"RUA ALTOS DOS QUÍMICOS";"local";195,01;;0,00;;195,01;
"RUA ALVARENGA PEIXOTO";"local";45,00;;0,00;;45,00;
"RUA AMADEU";"local";567,00;;0,00;;567,00;
"RUA AMAZONAS";"local";617,00;;0,00;;617,00;
"RUA AMAZONITA";"local";203,00;;0,00;;203,00;
"RUA AMÉRICA DO NORTE";"local";64,00;;0,00;;64,00;
"RUA AMÉRICA DO SUL";"local";610,00;;0,00;;0,00;
"RUA ANDRÉ FRANCO MONTORO";"local";158,00;;0,00;;0,00;
"RUA ANGRA DOS REIS";"local";183,00;;0,00;;183,00;
"RUA ANTONIO DI FAVARI";"local";273,00;;0,00;;273,00;
"RUA ANTÚLIA";"local";128,00;;0,00;;128,00;
"RUA ANTÚLIA";"local";318,00;;0,00;;318,00;
"RUA ARAGUASSÚ";"local";215,00;;0,00;;215,00;
"RUA ARAPONGA";"local";111,00;;0,00;;111,00;
"RUA AUTO GONSALVES DE OLIVEIRA";"local";84,00;;0,00;;84,00;
"RUA AYRTON SENNA (JARDIM NOVA AMÉRICA)";"local";71,00;;0,00;;71,00;
"RUA BAHIA";"local";282,00;;0,00;;282,00;
"RUA BASAMITA";"local";127,00;;0,00;;127,00;
"RUA BEIJA-FLOR";"local";261,00;;0,00;;261,00;
"RUA BELA VISTA (JARDIM NOVA AMÉRICA)";"local";45,00;;0,00;;45,00;
"RUA BENEDITO SERAFIM BUENO";"local";182,00;;0,00;;0,00;
"RUA BERTIOGA";"local";128,00;;0,00;;128,00;
"RUA BOA VIAGEM";"local";40,00;;0,00;;40,00;
"RUA BOSQUE DOS QUÍMICOS";"local";87,00;;0,00;;87,00;
"RUA BRAZ CUBAS";"local";204,00;;0,00;;0,00;
"RUA CACILDA BECKER";"local";176,00;;0,00;;176,00;
"RUA CAMILA DE ALMEIDA BORGES";"local";111,00;;0,00;;111,00;
"RUA CANDÉ";"local";197,00;;0,00;;197,00;
"RUA CANTOR CARLOS GALHARDO";"local";94,00;;0,00;;94,00;
"RUA CAPITÃO CARLOS LAMARCA";"local";208,00;;0,00;;208,00;
"RUA CARLOS CÉSAR DE CARVALHO";"local";425,00;;0,00;;425,00;
"RUA CARLOS FALETTI";"local";110,00;;0,00;;110,00;
"RUA CARLOS PINA FILHO";"local";154,00;;0,00;;154,00;
"RUA CEARÁ";"local";270,00;;0,00;;270,00;
"RUA CHICO MENDES";"local";241,00;;0,00;;0,00;
"RUA CISNE";"local";457,00;;0,00;;457,00;
"RUA CITRINO";"local";392,00;;0,00;;392,00;
"RUA CORDILHEIRA DOS QUÍMICOS";"local";463,00;;0,00;;463,00;
"RUA CORONEL BONIFÁCIO CARVALHO";"local";130,00;;0,00;;0,00;
"RUA CRISTALINA";"local";360,00;;0,00;;360,00;
"RUA CRISTIANO CARNEIRO TRAVI FILHO";"local";247,00;;0,00;;247,00;
"RUA DA  EVOLUÇÃO";"local";57,00;;0,00;;57,00;
"RUA DAS  QUARESMEIRAS";"local";257,00;;0,00;;257,00;
"RUA DAS PAINEIRAS (JARDIM PINHEIRO)";"local";103,00;;0,00;;103,00;
"RUA DAS PARAÍBAS";"local";190,00;;0,00;;190,00;
"RUA DAS VOLTAS";"local";70,00;;0,00;;70,00;
"RUA DEPUTADO CARLOS MARIGHELLA";"local";54,00;;0,00;;54,00;
"RUA DIADEMA";"local";485,00;;0,00;;485,00;
"RUA DOM OSCAR ROMERO";"local";124,00;;"0.00";;0,00;
"RUA DOS  AFRICANOS";"local";126,00;;0,00;;0,00;
"RUA DOS  ALEMÃES";"local";75,00;;0,00;;0,00;
"RUA DOS  AMERICANOS (PARQUE BANDEIRANTES)";"local";220,00;;0,00;;0,00;
"RUA DOS  BRASILEIROS";"local";218,00;;0,00;;0,00;
"RUA DOS  CAÇADORES";"local";148,00;;0,00;;0,00;
"RUA DOS  COCAIS";"local";232,00;;0,00;;232,00;
"RUA DOS  EDUCANDÁRIOS (JARDIM PINHEIRO)";"local";415,00;;0,00;;415,00;
"RUA DOS  ESPANHÓIS";"local";350,00;;0,00;;0,00;
"RUA DOS  EVANGÉLICOS (VILA UNIÃO)";"local";82,00;;0,00;;82,00;
"RUA DOS  FRANCESES";"local";134,00;;0,00;;0,00;
"RUA DOS  GRAMADOS";"local";65,00;;0,00;;65,00;
"RUA DOS  INDUSTRIÁRIOS";"local";247,00;;0,00;;247,00;
"RUA DOS  INGAZEIROS";"local";319,00;;0,00;;319,00;
"RUA DOS  IPÊS (PARQUE IDEAL II)";"local";284,00;;0,00;;284,00;
"RUA DOS  ITALIANOS";"local";120,00;;0,00;;0,00;
"RUA DOS  JACARANDÁS (JARDIM NOSSO LAR)";"local";308,00;;0,00;;308,00;
"RUA DOS  JAPONESES";"local";62,00;;0,00;;0,00;
"RUA DOS  JATOBÁS (JARDIM PINHEIROS)";"local";521,00;;0,00;;521,00;
"RUA DOS  JEQUITIBÁS";"local";185,00;;0,00;;185,00;
"RUA DOS  MINEIROS";"local";189,00;;0,00;;189,00;
"RUA DOS  NAVEGANTES";"local";106,00;;0,00;;106,00;
"RUA DOS  OPERÁRIOS";"local";355,00;;0,00;;355,00;
"RUA DOS  PALMITAIS";"local";110,00;;0,00;;110,00;
"RUA DOS  PEDREIROS";"local";354,00;;0,00;;354,00;
"RUA DOS  PESCADORES";"local";147,00;;0,00;;147,00;
"RUA DOS  PINHAIS (JARDIM NOSSO LAR)";"local";367,00;;0,00;;367,00;
"RUA DOS  PINHAIS (JARDIM PINHEIROS)";"local";519,00;;0,00;;519,00;
"RUA DOS  PORTUGUESES";"local";154,00;;0,00;;0,00;
"RUA DOS  VELEIROS";"local";154,00;;0,00;;154,00;
"RUA DOS CEDROS";"local";118,00;;0,00;;118,00;
"RUA EDGARD DE SOUZA";"local";339,00;;0,00;;0,00;
"RUA EDSON ROBERTO VISMARA";"local";682,00;;0,00;;0,00;
"RUA ELIZABETH LOBO GARCIA";"local";115,00;;0,00;;115,00;
"RUA EUGÊNIO KUPPER";"local";106,00;;0,00;;106,00;
"RUA EVANDRO CAIAFFA ESQUIVEL";"local";50,00;;0,00;;50,00;
"RUA EVANGELISTA";"local";402,00;;0,00;;402,00;
"RUA EXPEDITO VENCESLAU DA SILVA";"local";166,00;;0,00;;166,00;
"RUA EXPRESSA";"local";487,00;;0,00;;487,00;
"RUA FALCÃO";"local";144,00;;0,00;;144,00;
"RUA FIORENTINA";"local";80,00;;0,00;;80,00;
"RUA FIRENZE";"local";187,00;;0,00;;187,00;
"RUA FLORESTA";"local";78,00;;0,00;;78,00;
"RUA FRANCISCO BATISTA DE OLIVEIRA";"local";163,00;;0,00;;163,00;
"RUA FRANCISCO BELTRAN BATISTINE";"local";116,00;;0,00;;116,00;
"RUA FRANCISCO SANTOS";"local";350,00;;0,00;;350,00;
"RUA FRANK PERKINS";"local";159,00;;0,00;;159,00;
"RUA GAIVOTAS";"local";298,00;;0,00;;298,00;
"RUA GÊNOVA";"local";379,00;;0,00;;379,00;
"RUA GOIÁS";"local";359,00;;0,00;;359,00;
"RUA GREGÓRIO DE MATTOS";"local";136,00;;0,00;;136,00;
"RUA GUANAMBY";"local";81,00;;0,00;;0,00;
"RUA GUARAPÉ";"local";166,00;;0,00;;166,00;
"RUA HARPIA";"local";81,00;;0,00;;81,00;
"RUA HERBERT DE SOUZA - BETINHO";"local";158,00;;0,00;;0,00;
"RUA HUMBERTO DOTTO";"local";124,00;;0,00;;124,00;
"RUA IEDA LUIZA DE SOUZA";"local";42,00;;0,00;;42,00;
"RUA ÍMOLA";"local";110,00;;0,00;;110,00;
"RUA IPÊ AMARELO";"local";180,00;;0,00;;180,00;
"RUA IRMÃ DULCE";"local";161,00;;0,00;;0,00;
"RUA JACARANDÁ (ALVARENGA)";"local";439,00;;0,00;;439,00;
"RUA JASPE";"local";139,00;;0,00;;139,00;
"RUA JOÃO BRUNI";"local";135,00;;0,00;;0,00;
"RUA JOAQUIM ROMÃO";"local";188,00;;0,00;;188,00;91,68
"RUA JOEL FIGUEIREDO GOMES";"local";150,00;;0,00;;150,00;
"RUA JOSÉ COLA GRASSI";"local";226,00;;0,00;;0,00;
"RUA JOSÉ JORGE LOPES";"local";817,00;;0,00;;817,00;
"RUA JOSÉ MENDES DE SOUZA";"local";630,00;;0,00;;630,00;
"RUA JOSÉ OLIVEIRA FILHO";"local";233,00;;0,00;;233,00;
"RUA JOSÉ RODRIGUES DE OLIVEIRA";"local";295,00;;0,00;;295,00;
"RUA JOSÉ TRINDADE";"local";249,00;;0,00;;249,00;
"RUA JOSEFINA FELTRIN";"local";115,00;;0,00;;0,00;
"RUA JOSESITO DE SOUSA MOURA";"local";140,00;;0,00;;140,00;
"RUA LEONÍLIO PEREIRA DE SOUZA";"local";100,00;;0,00;;0,00;
"RUA LUANA CONCEIÇAO";"local";193,00;;0,00;;0,00;
"RUA LUCIDALVA DA SILVA";"local";344,00;;0,00;;0,00;
"RUA LUIZ 'LUA' GONZAGA";"local";127,00;;0,00;;0,00;
"RUA LUZIA DA COSTA BATISTA";"local";133,00;;0,00;;0,00;
"RUA LUZIA FRANCELINA CIMAS";"local";157,00;;0,00;;0,00;
"RUA MADRE MARIA INES TRIBIOLI";"local";114,00;;0,00;;114,00;
"RUA MALAQUITA";"local";550,00;;0,00;;550,00;
"RUA MANOEL NUNES DA SILVA";"local";327,00;;0,00;;327,00;
"RUA MARACAIBO";"local";347,00;;0,00;;347,00;
"RUA MARIA ARAÚJO MACIEL";"local";95,00;;0,00;;95,00;
"RUA MARIA DA PENHA N. E SILVA";"local";134,00;;0,00;;0,00;
"RUA MARIANA BENVINDA DA COSTA";"local";158,00;;0,00;;158,00;
"RUA MATURI";"local";146,00;;0,00;;0,00;
"RUA MAUÁ";"local";675,00;;0,00;;675,00;
"RUA MAURÍCIO GALANTE";"local";700,00;;0,00;;700,00;
"RUA MILÃO";"local";153,00;;0,00;;153,00;
"RUA MODESTO SALERA";"local";141,00;;0,00;;141,00;
"RUA NÁPOLES";"local";65,00;;0,00;;65,00;
"RUA NECI ELOI DANTAS";"local";504,00;;0,00;;504,00;
"RUA NELSON PIZSOLITTO";"local";412,00;;0,00;;412,00;
"RUA NERCI LOPES DE FREITAS";"local";182,00;;0,00;;182,00;
"RUA NILSON DE SOUSA";"local";143,00;;0,00;;0,00;
"RUA NOEMIA DE ALMEIDA KUPPER";"local";82,00;;0,00;;82,00;
"RUA NORA ASTORGA";"local";183,00;;0,00;;183,00;
"RUA NOSSA SENHORA DE GUADALUPE";"local";131,00;;0,00;;0,00;
"RUA NOVA ALIANÇA";"local";259,00;;0,00;;259,00;
"RUA NOVA ERA";"local";120,00;;0,00;;120,00;
"RUA NOVA ESPERANÇA (JARDIM NOVA PATENTE)";"local";217,00;;0,00;;217,00;
"RUA NOVA ESPERANÇA (JD  NOVO HORIZONTE)";"local";98,00;;0,00;;98,00;
"RUA NOVA PATENTE";"local";326,00;;0,00;;326,00;
"RUA NOVA PETRÓPOLIS";"local";212,00;;0,00;;212,00;
"RUA NOVA SÃO BENTO";"local";496,00;;0,00;;496,00;
"RUA NOVA TERRA";"local";246,00;;0,00;;246,00;
"RUA NOVA VENTURA";"local";765,00;;0,00;;765,00;
"RUA NOVA VIDA";"local";98,00;;0,00;;98,00;
"RUA NOVO HORIZONTE (JD NOVO HORIZONTE)";"local";130,00;;0,00;;130,00;
"RUA OBSIDIANA";"local";358,00;;0,00;;358,00;
"RUA OLHO DE TIGRE";"local";62,00;;0,00;;62,00;
"RUA ÔNIX";"local";246,00;;0,00;;246,00;
"RUA OPALA";"local";153,00;;0,00;;153,00;
"RUA OURO BRANCO";"local";661,00;;0,00;;661,00;
"RUA PADRE DAMIÃO CALIXTO TRAJANO";"local";80,00;;0,00;;0,00;
"RUA PAINEIRAS";"local";207,00;;0,00;;207,00;
"RUA PARAGUAÇU";"local";196,00;;0,00;;0,00;
"RUA PARNAÍBA";"local";225,00;;0,00;;225,00;
"RUA PASQUALE SCARANO";"local";207,00;;0,00;;0,00;
"RUA PAU BRASIL";"local";147,00;;0,00;;147,00;
"RUA PAULO FREIRE";"local";204,00;;0,00;;0,00;
"RUA PAULO GUILHERME FALETTI";"local";209,00;;0,00;;209,00;
"RUA PAULO LAZZURI";"local";176,00;;0,00;;176,00;
"RUA PÉROLA";"local";197,00;;0,00;;197,00;
"RUA PIAUÍ";"local";215,00;;0,00;;215,00;
"RUA PIETRO VILLA";"local";283,00;;0,00;;283,00;
"RUA PIRAPORINHA (JD NOVO HORIZONTE II)";"local";240,00;;0,00;;240,00;
"RUA PORTAL DOS QUÍMICOS";"local";513,00;;0,00;;513,00;
"RUA PORTO FELIZ";"local";150,00;;0,00;;150,00;
"RUA PORTO VELHO";"local";130,00;;0,00;;130,00;
"RUA POUSO ALEGRE";"local";392,00;;0,00;;392,00;
"RUA PROGRESSO";"local";258,00;;0,00;;258,00;
"RUA QUARTZO";"local";232,00;;0,00;;232,00;
"RUA REINALDO TEIXEIRA";"local";70,00;;0,00;;70,00;
"RUA RIBEIRÃO PIRES";"local";186,00;;0,00;;186,00;
"RUA RIBEIRO";"local";379,00;;0,00;;379,00;
"RUA RIO DE JANEIRO";"local";74,00;;0,00;;74,00;
"RUA RIO GRANDE DA SERRA";"local";155,00;;0,00;;155,00;
"RUA RITA MENDES DE OLIVEIRA";"local";245,00;;0,00;;0,00;
"RUA ROCHEDO";"local";60,00;;0,00;;60,00;
"RUA ROMA";"local";103,00;;0,00;;103,00;
"RUA SAMUEL PEREIRA DOS SANTOS";"local";98,00;;0,00;;98,00;
"RUA SANTA CECÍLIA";"local";233,00;;0,00;;233,00;
"RUA SANTA MARTINS";"local";170,00;;0,00;;0,00;
"RUA SANTANA (JARDIM NOVA AMÉRICA)";"local";253,00;;0,00;;253,00;
"RUA SANTO ANDRÉ";"local";354,00;;0,00;;354,00;
"RUA SÃO BERNARDO DO CAMPO";"local";273,00;;0,00;;273,00;
"RUA SÃO CAETANO";"local";410,00;;0,00;;410,00;
"RUA SÃO CAETANO DO SUL";"local";136,00;;0,00;;136,00;
"RUA SÃO CRISTÓVÃO";"local";757,00;;0,00;;0,00;
"RUA SÃO JOSÉ OPERÁRIO";"local";231,00;;0,00;;0,00;
"RUA SÃO PAULO (JARDIM NOVO HORIZONTE)";"local";345,00;;0,00;;345,00;
"RUA SÃO VICENTE";"local";205,00;;0,00;;205,00;
"RUA SEBASTIANA REGACCINI SIMÃO";"local";351,00;;0,00;;351,00;
"RUA SEBASTIÃO PACHECO";"local";205,00;;0,00;;0,00;
"RUA SEBASTIÃO RODRIGUES";"local";124,00;;0,00;;124,00;
"RUA SENADOR LUÍS CARLOS PRESTES";"local";254,00;;0,00;;254,00;
"RUA SHEILA DE MELLO SOBRAL";"local";302,00;;0,00;;0,00;
"RUA SÍLVIO DE LIMA";"local";372,00;;0,00;;372,00;
"RUA SODALISTA";"local";177,00;;0,00;;177,00;
"RUA SYLVIO";"local";291,00;;0,00;;291,00;
"RUA TALISMÃ";"local";252,00;;0,00;;252,00;
"RUA TENRI";"local";404,00;;0,00;;404,00;
"RUA TEODORO SOARES";"local";97,00;;0,00;;97,00;
"RUA TERESA BARBOSA DE OLIVEIRA";"local";421,00;;0,00;;0,00;
"RUA TEXAS";"local";200,00;;0,00;;200,00;
"RUA TOM JOBIM";"local";823,00;;0,00;;0,00;
"RUA TUPINAMBÁS";"local";190,00;;0,00;;190,00;
"RUA TURIN";"local";256,00;;0,00;;256,00;
"RUA TURMALINA (JARDIM IPANEMA)";"local";300,00;;0,00;;300,00;
"RUA UBÁ";"local";186,00;;0,00;;0,00;
"RUA UNIÃO DAS VILAS";"local";93,00;;0,00;;93,00;
"RUA ÚNIDOS DA ESPERANÇA";"local";74,00;;0,00;;74,00;
"RUA UNIDOS DOS QUÍMICOS";"local";417,00;;0,00;;417,00;
"RUA URÂNIO";"local";176,00;;0,00;;0,00;
"RUA VÂNIA SILVA SANTOS";"local";1397,21;;0,00;;1397,21;
"RUA VEREADOR MARIO FRANCISCON";"local";88,63;;0,00;;88,63;
"RUA VEREDA DOS EUCALIPTOS";"local";338,00;;0,00;;338,00;
"RUA VICTOR MAIER";"local";88,63;;0,00;;88,63;
"RUA VINICIUS DE MORAES ";"local";16,25;;0,00;;16,25;
"RUA VIRGINIA BERDAGUE TEIXEIRA";"local";127,91;;0,00;;0,00;
"RUA WILSON DE SOUZA PINHEIRO";"local";163,00;;0,00;;163,00;
